nodename,batch,timestamp,task,data,in_rows,question,out_rows,out_cols,solution,version,git,fun,run,time_sec,mem_gb,cache,chk,chk_time_sec,comment
mr-0xc11,1543726296,1543726458.5707076,groupby,G1_1e7_1e1_0_0,10000000,sum v1:v3 by id6,999969,3,pandas,0.23.4,,.groupby,1,1.905,0.88,TRUE,30001016;29998058;506570021.499,0.01,
mr-0xc11,1543726296,1543726460.4918473,groupby,G1_1e7_1e1_0_0,10000000,sum v1:v3 by id6,999969,3,pandas,0.23.4,,.groupby,2,1.901,0.88,TRUE,30001016;29998058;506570021.499,0.01,
mr-0xc11,1543726296,1543726466.3682268,groupby,G1_1e7_2e0_0_0,10000000,sum v1 by id1,2,1,pandas,0.23.4,,.groupby,1,0.136,1.2,TRUE,30001016,0.0,
mr-0xc11,1543726296,1543726466.5447857,groupby,G1_1e7_2e0_0_0,10000000,sum v1 by id1,2,1,pandas,0.23.4,,.groupby,2,0.136,1.209,TRUE,30001016,0.0,
mr-0xc11,1543726296,1543726466.9272528,groupby,G1_1e7_2e0_0_0,10000000,sum v1 by id1:id2,4,1,pandas,0.23.4,,.groupby,1,0.375,1.209,TRUE,30001016,0.0,
mr-0xc11,1543726296,1543726467.3098588,groupby,G1_1e7_2e0_0_0,10000000,sum v1 by id1:id2,4,1,pandas,0.23.4,,.groupby,2,0.375,1.209,TRUE,30001016,0.0,
mr-0xc11,1543726296,1543726471.120946,groupby,G1_1e7_2e0_0_0,10000000,sum v1 mean v3 by id3,4323484,2,pandas,0.23.4,,.groupby,1,3.758,1.313,TRUE,30001016;218993175.266,0.046,
mr-0xc11,1543726296,1543726474.7651932,groupby,G1_1e7_2e0_0_0,10000000,sum v1 mean v3 by id3,4323484,2,pandas,0.23.4,,.groupby,2,3.607,1.361,TRUE,30001016;218993175.266,0.028,
mr-0xc11,1543726296,1543726475.1463256,groupby,G1_1e7_2e0_0_0,10000000,mean v1:v3 by id4,2,3,pandas,0.23.4,,.groupby,1,0.37,1.265,TRUE,6.0;6.0;101.314,0.001,
mr-0xc11,1543726296,1543726475.5234113,groupby,G1_1e7_2e0_0_0,10000000,mean v1:v3 by id4,2,3,pandas,0.23.4,,.groupby,2,0.369,1.265,TRUE,6.0;6.0;101.314,0.001,
